id,clean_name,premium_title,price,category,subcategory,seo_description,short_description,tags,keywords,occasion_tags,classification,instagram_caption,is_best_seller,cross_sell,combos
farmley_0,Farmley RNF Makhana 14GM Peri Peri,Guilt-Free Farmley RNF Makhana 14GM Peri Peri,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley RNF Makhana 14GM Peri Peri. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley RNF Makhana 14GM Peri Peri from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley RNF Makhana 14GM Peri Peri, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley RNF Makhana 14GM Peri Peri! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley RNF Makhana 14GM Peri Peri + Green Tea Pack"
farmley_1,Farmley RNF Makhana 14GM Tangy Tomato,Guilt-Free Farmley RNF Makhana 14GM Tangy Tomato,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley RNF Makhana 14GM Tangy Tomato. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley RNF Makhana 14GM Tangy Tomato from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley RNF Makhana 14GM Tangy Tomato, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley RNF Makhana 14GM Tangy Tomato! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley RNF Makhana 14GM Tangy Tomato + Green Tea Pack"
farmley_2,Farmley RNF Makhana 14GM Cream & Onion,Guilt-Free Farmley RNF Makhana 14GM Cream & Onion,30.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley RNF Makhana 14GM Cream & Onion. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley RNF Makhana 14GM Cream & Onion from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley RNF Makhana 14GM Cream & Onion, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley RNF Makhana 14GM Cream & Onion! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley RNF Makhana 14GM Cream & Onion + Green Tea Pack"
farmley_3,Farmley Munchies 25g*150p Amritsari Achari 20 Mrp,Guilt-Free Farmley Munchies 25g*150p Amritsari Achari 20 Mrp,20.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Munchies 25g*150p Amritsari Achari 20 Mrp. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Munchies 25g*150p Amritsari Achari 20 Mrp from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Munchies 25g*150p Amritsari Achari 20 Mrp, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Munchies 25g*150p Amritsari Achari 20 Mrp! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Munchies 25g*150p Amritsari Achari 20 Mrp + Green Tea Pack"
farmley_4,Farmley Makha Shaka Stix 25g Flaming Hot Ladi,Guilt-Free Farmley Makha Shaka Stix 25g Flaming Hot Ladi,20.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Makha Shaka Stix 25g Flaming Hot Ladi. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Makha Shaka Stix 25g Flaming Hot Ladi from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Makha Shaka Stix 25g Flaming Hot Ladi, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Makha Shaka Stix 25g Flaming Hot Ladi! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Makha Shaka Stix 25g Flaming Hot Ladi + Green Tea Pack"
farmley_5,Farmley Munchies 25g* Andhra masala (ladi),Guilt-Free Farmley Munchies 25g* Andhra masala (ladi),20.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Munchies 25g* Andhra masala (ladi). Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Munchies 25g* Andhra masala (ladi) from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Munchies 25g* Andhra masala (ladi), Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Munchies 25g* Andhra masala (ladi)! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Munchies 25g* Andhra masala (ladi) + Green Tea Pack"
farmley_6,Farmley Makha Shaka Stix 25g Tomato Ladi,Guilt-Free Farmley Makha Shaka Stix 25g Tomato Ladi,20.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley Makha Shaka Stix 25g Tomato Ladi. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley Makha Shaka Stix 25g Tomato Ladi from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley Makha Shaka Stix 25g Tomato Ladi, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Budget,"Indulge in the magic of Farmley Makha Shaka Stix 25g Tomato Ladi! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley Makha Shaka Stix 25g Tomato Ladi + Green Tea Pack"
farmley_7,farmley RNF makhana composite jar 77g minty pudina,Guilt-Free farmley RNF makhana composite jar 77g minty pudina,239.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's farmley RNF makhana composite jar 77g minty pudina. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh farmley RNF makhana composite jar 77g minty pudina from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","farmley RNF makhana composite jar 77g minty pudina, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of farmley RNF makhana composite jar 77g minty pudina! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), farmley RNF makhana composite jar 77g minty pudina + Green Tea Pack"
farmley_8,Farmley RNF makhana composit jar 77 g himalayan salted,Guilt-Free Farmley RNF makhana composit jar 77 g himalayan salted,239.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's Farmley RNF makhana composit jar 77 g himalayan salted. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh Farmley RNF makhana composit jar 77 g himalayan salted from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","Farmley RNF makhana composit jar 77 g himalayan salted, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of Farmley RNF makhana composit jar 77 g himalayan salted! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), Farmley RNF makhana composit jar 77 g himalayan salted + Green Tea Pack"
farmley_9,farmley RNF makhana composite jar 77g Lemon Chilli,Guilt-Free farmley RNF makhana composite jar 77g Lemon Chilli,239.0,Healthy Snacks,Farmley,"Discover the perfect balance of taste and health with Heritage Oven's farmley RNF makhana composite jar 77g Lemon Chilli. Sourced from the finest ingredients, these snacks are perfect for the health-conscious Indian consumer looking for a premium, guilt-free munching experience.","Deliciously fresh farmley RNF makhana composite jar 77g Lemon Chilli from Heritage Oven. Premium quality, authentic taste.","Healthy Snacks, Heritage Oven, Superfood, Health-conscious, Guilt-Free, Premium Bakery","farmley RNF makhana composite jar 77g Lemon Chilli, Heritage Oven, Healthy Snacks, Freshly Baked","Tea Time, Evening Snack, Daily Treat, Office Snack",Premium,"Indulge in the magic of farmley RNF makhana composite jar 77g Lemon Chilli! ✨ Perfectly baked, delightfully fresh. Only at Heritage Oven. 🥯🍰 #HeritageOven #BakeryIndia #FreshlyBaked",False,"Masala Chai, Green Tea, Diet Soda","Healthy Munchie Box (Set of 5), farmley RNF makhana composite jar 77g Lemon Chilli + Green Tea Pack"
